GPK,ATC,Hoofd Groep,SubGroep,Generiek,Product,Etiket,Vorm,Routes,Sterkte,SterkteEenheid,Veelvoud,VeelvoudEenheid,Indicaties,HeeftOplossingen,InAssortiment
165573,J05AF06,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,abacavir,ZIAGEN 20 MG/ML DRANK,ABACAVIR 20MG/ML DRANK,drank,or,20,mg/ml,2,mg,HIV, ,x
165565,J05AF06,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,abacavir,ZIAGEN 300 MG TABLET,ABACAVIR 300MG TABLET,tablet,or,300,mg/stuk,300,mg,HIV, ,x
165638,J05AR02,ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK,DIRECT WERKENDE ANTIVIRALE MIDDELEN,abacavir+lamivudine,KIVEXA TABLET FILMOMHULD,ABACAVIR/LAMIVUDINE 600/300,tablet,or,300,mg/stuk,1,stuk,HIV, ,x
140813,L04AA24,IMMUNOSUPPRESSIVA,IMMUNOSUPPRESSIVA,abatacept,ORENCIA 125 MG/ML WWSP 1 ML,ABATACEPT 125MG/ML INJVLST,injectievloeistof,sc,125,mg/ml,125,mg,Juveniele Idiopathische Arthritis (J.I.A.)||Therapieresistente Focale Segmentale GlomeruloSclerose (FSGS), ,x
127434,L04AA24,IMMUNOSUPPRESSIVA,IMMUNOSUPPRESSIVA,abatacept,ORENCIA 250 MG POEDER VOOR INFUSIE,ABATACEPT 250MG INFPDR,poeder voor oplossing voor infusie,iv,250,mg/stuk,2.5,mg,Juveniele Idiopathische Arthritis (J.I.A.)||Therapieresistente Focale Segmentale GlomeruloSclerose (FSGS),x,x
20303,B01AA07,ANTITHROMBOTICA,ANTITHROMBOTICA,acenocoumarol,ACENOCOUMAROL 1MG TABLET,ACENOCOUMAROL 1MG TABLET,tablet,or,1,mg/stuk,1,mg,Antistolling, ,x
110140,S01EC01,MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,GLAUCOOMMIDDELEN EN MIOTICA,acetaZOLAMIDE,DIAMOX 500 MG POEDER VOOR INJECTIE,ACETAZOLAMIDE 500MG INJPDR,poeder voor injectievloeistof,iv,500,mg/stuk,10,mg,"Epilepsie, adjuvante therapie ||Verlaging intraoculaire druk||Verlaging intracraniele druk||Diureticum bij oedeem",x,x
14516,S01EC01,MIDDELEN VOOR OOGHEELKUNDIG GEBRUIK,GLAUCOOMMIDDELEN EN MIOTICA,acetaZOLAMIDE,ACETAZOLAMIDE 250 MG TABLET,ACETAZOLAMIDE 250MG TABLET,tablet,or,250,mg/stuk,62.5,mg,"Epilepsie, adjuvante therapie ||Verlaging intraoculaire druk||Verlaging intracraniele druk||Diureticum bij oedeem", ,x
54550,R05CB01,HOEST- EN VERKOUDHEIDSMIDDELEN,"EXPECTORANTIA, EXCL COMB.PREP. MET HOESTPRIKKELDEMP.MIDD.",acetylCYSTeine,FLUIMUCIL 200 MG CAPSULE,ACETYLCYSTEINE 200MG CAPSUL,capsule,or,200,mg/stuk,200,mg,Paracetamol intoxicatie||Cystic Fibrosis||Productieve hoest||Blaasaugmentatie na operatie, ,x
53767,R05CB01,HOEST- EN VERKOUDHEIDSMIDDELEN,"EXPECTORANTIA, EXCL COMB.PREP. MET HOESTPRIKKELDEMP.MIDD.",acetylCYSTeine,FLUIMUCIL 200 MG/ML INFVLST 25ML,ACETYLCYSTEINE 200MG/ML INF,infusievloeistof,iv||intravesic,200,mg/ml,20,mg,Paracetamol intoxicatie||Cystic Fibrosis||Productieve hoest||Blaasaugmentatie na operatie, ,x
41653,R05CB01,HOEST- EN VERKOUDHEIDSMIDDELEN,"EXPECTORANTIA, EXCL COMB.PREP. MET HOESTPRIKKELDEMP.MIDD.",acetylCYSTeine,ACETYLCYSTEINE 200 MG SACHET,ACETYLCYSTEINE 200MG POEDER,poeder voor oraal gebruik,or,200,mg/stuk,200,mg,Paracetamol intoxicatie||Cystic Fibrosis||Productieve hoest||Blaasaugmentatie na operatie, ,x
